cell_type,n_neurons,entropy,mean_null_entropy,std_null_entropy,z_score,p_value,q_value,dominant_nt,dominant_frac,n_nt_types,nt_distribution
PS209,10,-0.0,0.9903313749869365,0.3754126642589521,-2.6379807323277347,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
WED031,11,-0.0,0.9851674279114182,0.3718997242624094,-2.649013601355327,1.0,1.0,GABA,1.0,1,"{""GABA"": 11}"
DL2d_adPN,10,-0.0,0.9989336615930093,0.37698331659649353,-2.6498086722023944,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB1206,11,-0.0,0.9903568934886525,0.3733968100573241,-2.6522907181146307,1.0,1.0,ACH,1.0,1,"{""ACH"": 11}"
CB1482,11,-0.0,0.996926498789668,0.3754284653908516,-2.655436629590104,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 11}"
CB2353,11,-0.0,0.9923289758609521,0.3730815644943065,-2.6598177725720773,1.0,1.0,ACH,1.0,1,"{""ACH"": 11}"
ENS1,10,-0.0,0.9935543832853759,0.3730317112039207,-2.6634582354373664,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
WED034,11,-0.0,1.0098702835409825,0.3785885900412231,-2.667460959219668,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 11}"
PLP041,10,-0.0,1.0019321001479173,0.37532544364405557,-2.6695022069916257,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
CB0986,11,-0.0,1.0141838531439813,0.37942094548437355,-2.672978034592322,1.0,1.0,GABA,1.0,1,"{""GABA"": 11}"
